ra,dec,gal_l,gal_b,h_mag,shmag,h_2mass,k_2mass,j_2mass,p,sp,pa_deg,gpa_deg,spa,q,sq,u,su,nhwp,uf
288.357241,11.854131,45.969353,0.585703,10.88100,0.00260,10.886,10.205,12.566,1.12,0.31,20.7,83.0,8.0,0.872,0.315,0.767,0.310,16,1
288.358484,11.281356,45.462468,0.318951,11.07960,0.00320,11.008,10.021,13.501,4.48,0.39,168.9,51.3,2.5,4.163,0.397,-1.698,0.376,16,1
288.359100,10.958945,45.177122,0.168856,9.67280,0.00100,9.704,8.998,11.318,0.82,0.18,27.2,89.6,6.3,0.488,0.151,0.683,0.192,16,1
288.357270,11.224072,45.411167,0.293433,11.89740,0.00550,12.006,10.859,14.081,6.65,0.90,168.5,50.8,3.9,6.169,0.887,-2.629,0.952,16,1
288.357693,11.897547,46.008024,0.605447,9.05320,0.00060,9.032,8.532,10.412,1.16,0.13,171.3,53.7,3.3,1.111,0.131,-0.348,0.139,16,1
288.360613,11.339994,45.515385,0.344301,11.36390,0.00369,11.401,10.879,12.856,1.53,0.58,178.6,60.9,10.2,1.632,0.583,-0.081,0.665,32,1
288.369524,11.287744,45.473150,0.312323,10.46590,0.00160,10.432,9.165,13.066,4.33,0.23,172.8,55.2,1.5,4.204,0.225,-1.075,0.265,16,1
288.832485,11.093861,45.512461,-0.179922,8.81060,0.00040,8.759,7.519,11.269,2.07,0.11,47.6,109.9,1.5,-0.190,0.099,2.061,0.111,16,1
288.369791,11.035637,45.249931,0.195136,10.58190,0.00170,10.556,9.466,13.052,2.77,0.28,171.6,54.0,2.9,2.662,0.283,-0.801,0.275,16,1
288.376119,11.020687,45.239569,0.182698,12.21840,0.01080,12.173,11.089,14.411,4.18,1.46,172.2,54.6,10.0,4.263,1.432,-1.191,1.779,16,1
288.323761,11.721903,45.836998,0.553418,9.87260,0.00120,9.889,9.141,11.721,1.05,0.26,25.8,88.2,7.0,0.674,0.246,0.850,0.265,16,1
288.374097,11.222213,45.417177,0.277949,12.13620,0.00770,12.108,11.246,14.202,3.61,0.96,163.4,45.7,7.6,3.124,0.970,-2.047,0.931,16,1
288.327050,11.415041,45.566612,0.408259,10.97510,0.00290,10.960,10.330,12.587,1.40,0.62,147.8,30.2,12.7,0.662,0.651,-1.380,0.615,16,1
288.847607,11.133688,45.554618,-0.174524,8.27710,0.00030,8.348,7.924,9.453,0.34,0.06,167.3,49.6,5.3,0.314,0.065,-0.149,0.055,16,1
288.374423,11.213020,45.409181,0.273401,11.01480,0.00320,11.073,10.558,12.308,1.85,0.38,173.5,55.8,5.9,1.845,0.380,-0.427,0.408,16,1
288.374533,11.231161,45.425302,0.281721,10.36850,0.00150,10.365,9.456,12.458,3.13,0.19,167.0,49.4,1.7,2.818,0.190,-1.373,0.191,16,1
288.089324,11.075988,45.158100,0.457748,11.78660,0.00720,11.763,11.012,13.729,3.81,1.31,18.9,81.3,9.9,3.189,1.451,2.472,1.049,16,1
288.330439,11.166399,45.347864,0.290001,12.09710,0.00820,12.070,10.981,14.699,4.75,1.33,5.6,68.0,8.0,4.836,1.338,0.966,1.109,16,1
288.332146,11.679205,45.802975,0.526343,10.58010,0.00210,10.605,10.050,11.949,1.00,0.44,15.5,77.9,12.4,0.938,0.462,0.563,0.355,16,1
288.332150,11.283013,45.451958,0.342598,11.27250,0.00370,11.332,10.957,12.370,2.09,0.54,143.2,25.6,7.4,0.609,0.517,-2.068,0.540,16,1
288.333807,11.309573,45.476242,0.353477,11.12990,0.00330,11.138,10.305,13.068,2.14,0.50,166.8,49.2,6.7,1.970,0.518,-0.977,0.419,16,1
288.860380,11.236061,45.651063,-0.137976,11.77460,0.00840,11.691,10.792,13.738,2.98,1.27,20.5,82.8,12.2,2.445,1.244,2.131,1.304,16,1
288.328938,11.338452,45.499614,0.371100,10.54540,0.00180,10.581,10.159,11.695,1.25,0.43,158.4,40.8,9.8,0.967,0.476,-0.908,0.370,16,1
288.097885,11.203343,45.274870,0.509280,11.41147,0.00344,11.439,11.082,12.395,1.15,0.48,33.5,95.9,11.1,0.489,0.470,1.152,0.487,32,1
288.329722,11.150349,45.333318,0.283180,11.29350,0.00380,11.289,10.240,13.687,2.57,0.56,178.9,61.3,6.2,2.624,0.555,-0.100,0.561,16,1
288.330569,11.544391,45.682814,0.465191,10.57020,0.00240,10.589,9.928,12.239,1.22,0.55,162.6,44.9,12.8,1.099,0.553,-0.766,0.531,16,1
288.330602,11.281703,45.450093,0.343336,12.22160,0.00820,12.210,11.221,14.389,3.44,1.00,2.2,64.6,8.4,3.572,1.005,0.274,1.007,16,1
288.099540,11.628265,45.652259,0.704613,10.43140,0.00130,10.501,9.914,11.906,0.65,0.29,149.3,31.7,12.6,0.342,0.278,-0.626,0.290,16,1
288.333176,11.298725,45.466345,0.348994,9.37790,0.00080,9.414,9.020,10.465,1.25,0.20,142.4,24.8,4.6,0.323,0.134,-1.218,0.202,16,1
288.341356,11.832137,45.942656,0.589277,9.66520,0.00110,9.688,8.780,11.766,0.66,0.23,54.5,116.8,10.0,-0.225,0.254,0.657,0.225,16,1
288.343080,11.036713,45.238723,0.218861,9.47350,0.00060,9.465,8.104,12.089,5.46,0.13,176.0,58.4,0.7,5.408,0.125,-0.762,0.151,16,1
288.335724,11.057702,45.253969,0.234993,11.94100,0.00690,12.022,11.670,12.987,2.99,1.01,161.5,43.9,9.7,2.522,0.957,-1.896,1.098,16,1
288.344726,11.141424,45.332239,0.265999,10.12880,0.00140,10.147,9.068,12.494,2.50,0.21,2.0,64.3,2.4,2.498,0.209,0.171,0.192,16,1
